0.951457	-0.233201
0.9763	-0.213752
1.00069	-1.32948
1.00069	-1.34984
0.975947	-0.30515
0.95119	-0.348421
0.92642	-0.362778
0.901639	-0.380125
0.876848	-0.38937
0.852046	-0.394883
0.827235	-0.396951
0.802415	-0.397033
0.777586	-0.396096
0.752748	-0.394836
0.727902	-0.393668
0.703047	-0.39273
0.678185	-0.392082
0.653314	-0.391705
0.628435	-0.391584
0.603547	-0.39172
0.578652	-0.392014
0.553748	-0.392519
0.528835	-0.393347
0.503914	-0.394599
0.478984	-0.39628
0.454046	-0.39864
0.4291	-0.402131
0.404147	-0.407472
0.379186	-0.417079
0.354219	-0.437701
0.329248	-0.474837
0.304274	-0.520981
0.2793	-0.556789
0.254329	-0.593139
0.229367	-0.659925
0.20442	-0.766112
0.179499	-0.914159
0.154618	-1.10453
0.129799	-1.34441
0.105078	-1.65079
0.0813724	-2.04106
0.0610187	-2.56094
0.0441549	-3.2056
0.0306146	-3.85072
0.0199173	-4.64017
0.0119722	-5.65868
0.006208	-6.60561
0.00246929	-6.81706
0.0005866	-6.08735
0	-4.7554
0.000550273	-3.03625
0.00236333	-1.37188
0.00598188	-0.133067
0.0115564	0.569498
0.0192522	0.889458
0.0295531	1.00519
0.0425601	1.00722
0.058933	0.952416
0.0789622	0.868996
0.102468	0.776074
0.127261	0.687212
0.152157	0.611391
0.177119	0.546986
0.202122	0.490951
0.227153	0.442262
0.2522	0.397617
0.277256	0.357096
0.302315	0.32337
0.327375	0.291922
0.352433	0.262097
0.377485	0.235592
0.402532	0.210378
0.427572	0.186674
0.452604	0.164788
0.477628	0.145153
0.502643	0.125496
0.52765	0.106175
0.552649	0.0874428
0.577639	0.0702737
0.60262	0.0536003
0.627593	0.0354693
0.652558	0.018201
0.677515	0.000412723
0.702463	-0.0181652
0.727403	-0.0364615
0.752334	-0.0539994
0.777257	-0.0725725
0.802172	-0.0924981
0.827077	-0.111544
0.851974	-0.129042
0.87686	-0.147512
0.901737	-0.169725
0.926603	-0.191236
